"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.42","2018-06-08 10:04:00","D05P2","AS0808",1,12010,-570,2550,3780,6250,"D05",1.17785572814304,0.586539414792089,1.2598982539739,1.13778895637003,0.754786858494464
"result.43","2018-06-19 10:08:22","D14P1","AS0808",1,10100,-770,2350,3770,4750,"D14",0.768214559506133,0.410516673393338,1.02118588171969,1.12947502526079,0.283308898273358
"result.44","2018-06-19 10:08:22","D14P2","AS0808",1,10370,-650,1950,3570,5500,"D14",0.826121949837005,0.516130318232588,0.543761137211284,0.963196403075877,0.519047878383911
"result.45","2019-12-02 17:12:59","D01P1","BM0103",1,4790,-680,1600,1870,2000,"D01",-0.370630783667685,0.489726907022776,0.126014485766424,-0.450171885495862,-0.581067362132004
"result.46","2019-12-03 17:55:35","D02P1","BM0103",1,5690,-590,2150,1880,2250,"D02",-0.177606149231445,0.568937140652214,0.782473509465489,-0.441857954386617,-0.502487702095153
"result.47","2019-12-03 18:06:43","D02P2","BM0103",1,7025,-255,2250,2280,2750,"D02",0.108713725182312,0.863775232495122,0.901829695592592,-0.109300710016796,-0.345328382021451
"result.48","2019-12-04 17:24:06","D03P1","BM0103",1,9300,-470,3700,3070,3000,"D03",0.596637106673919,0.674550785491464,2.63249439443558,0.5474998476136,-0.2667487219846
"result.49","2019-12-04 17:37:40","D03P2","BM0103",1,9325,-335,2350,3310,4000,"D03",0.601998902074926,0.793366135935621,1.02118588171969,0.747034194235493,0.0475699181628045
"result.50","2019-12-05 17:23:10","D04P1","BM0103",1,10560,-450,2850,3410,4750,"D04",0.866871594884656,0.69215305963134,1.61796681235521,0.830173505327948,0.283308898273358
"result.51","2019-12-05 17:34:59","D04P2","BM0103",1,11860,-300,3300,3610,5250,"D04",1.145684955737,0.824170115680403,2.15506964992717,0.996452127512859,0.44046821834706
"result.52","2019-12-06 16:44:55","D05P1","BM0103",1,11150,-600,2700,4050,5000,"D05",0.993409966348413,0.560136003582276,1.43893253316455,1.36226509631966,0.361888558310209
"result.53","2019-12-06 16:56:25","D05P2","BM0103",1,11290,-650,1300,3640,7000,"D05",1.02343602059405,0.516130318232588,-0.232054072614884,1.0213939208406,0.990525838605017
"result.54","2019-12-17 16:09:52","D14P1","BM0103",1,13470,-350,2850,3220,7750,"D14",1.49098457956183,0.780164430330715,1.61796681235521,0.672208814252283,1.22626481871557
"result.55","2019-12-17 16:23:14","D14P2","BM0103",1,15420,-450,2600,4020,9250,"D14",1.90920462084035,0.69215305963134,1.31957634703745,1.33732330299193,1.69774277893668
"result.56","2021-03-01 11:40:22","D01P1","BS1410",2,-3250,-3400,200,-550,500,"D01",-2.09498418463143,-1.90418237600024,-1.54497212001301,-2.46214321393328,-1.05254532235311
"result.57","2021-03-02 11:12:52","D02P1","BS1410",2,-160,-1260,250,-150,1000,"D02",-1.43226627306701,-0.0207390430336029,-1.48529402694946,-2.12958596956346,-0.895386002279408
"result.58","2021-03-02 11:23:41","D02P2","BS1410",2,-1720,-2420,200,-250,750,"D02",-1.76684230608982,-1.04167094314636,-1.54497212001301,-2.21272528065591,-0.973965662316259
"result.59","2021-03-03 11:16:54","D03P1","BS1410",2,-580,-1480,150,-250,1000,"D03",-1.52234443580392,-0.214364058572229,-1.60465021307656,-2.21272528065591,-0.895386002279408
"result.60","2021-03-03 11:27:31","D03P2","BS1410",2,1465,-185,600,-200,1250,"D03",-1.08374957200157,0.925383191984685,-1.0675473755046,-2.17115562510969,-0.816806342242557
"result.61","2021-03-04 11:25:12","D04P1","BS1410",2,1200,-900,600,0,1500,"D04",-1.14058460325224,0.296101891484149,-1.0675473755046,-2.00487700292478,-0.738226682205706
"result.62","2021-03-04 11:36:04","D04P2","BS1410",2,965,-935,800,-150,1250,"D04",-1.19098548002171,0.265297911739368,-0.828835003250397,-2.12958596956346,-0.816806342242557
"result.63","2021-03-05 11:14:29","D05P1","BS1410",2,1550,-750,850,-300,1750,"D05",-1.06551946763815,0.428118947533213,-0.769156910186846,-2.25429493620214,-0.659647022168855
"result.64","2021-03-05 11:25:27","D05P2","BS1410",2,3850,-150,1750,-250,2500,"D05",-0.572234290745536,0.956187171729466,0.305048764957079,-2.21272528065591,-0.423908042058302
"result.65","2021-03-16 11:01:56","D14P1","BS1410",2,2300,-600,1050,-150,2000,"D14",-0.90466560560795,0.560136003582276,-0.53044453793264,-2.12958596956346,-0.581067362132004
"result.66","2021-03-16 11:12:41","D14P2","BS1410",2,2565,-685,1150,-150,2250,"D14",-0.847830574357279,0.485326338487807,-0.411088351805538,-2.12958596956346,-0.502487702095153
"result.67","2019-10-07 08:06:58","D01P1","CA2209",2,-1415,-4065,450,1200,1000,"D01",-1.70142840219754,-2.48945799115109,-1.24658165469526,-1.00720526981531,-0.895386002279408
"result.68","2019-10-08 07:58:49","D02P1","CA2209",2,1145,-2635,450,2080,1250,"D02",-1.15238055313446,-1.23089539015002,-1.24658165469526,-0.275579332201706,-0.816806342242557
"result.69","2019-10-08 08:10:17","D02P2","CA2209",2,3615,-1005,850,2770,1000,"D02",-0.622635167514999,0.203689952249805,-0.769156910186846,0.298081914336235,-0.895386002279408
"result.70","2019-10-09 07:59:10","D03P1","CA2209",2,4205,-755,700,2760,1500,"D03",-0.496096796051241,0.423718378998244,-0.9481911893775,0.289767983226989,-0.738226682205706
"result.71","2019-10-09 08:11:32","D03P2","CA2209",2,2810,-1230,300,1990,1750,"D03",-0.795284979427414,0.00566436817620974,-1.42561593388591,-0.350404712184916,-0.659647022168855
"result.72","2019-10-10 07:58:07","D04P1","CA2209",2,4795,-805,600,2750,2250,"D04",-0.369558424587484,0.379712693648556,-1.0675473755046,0.281454052117744,-0.502487702095153
"result.73","2019-10-10 08:11:48","D04P2","CA2209",2,4240,-1210,900,2300,2250,"D04",-0.488590282489832,0.0232666423160849,-0.709478817123295,-0.0926728477983048,-0.502487702095153
"result.74","2019-10-11 07:52:51","D05P1","CA2209",2,5940,-470,500,2910,3000,"D05",-0.123988195221378,0.674550785491464,-1.18690356163171,0.414476949865672,-0.2667487219846
"result.75","2019-10-11 08:06:42","D05P2","CA2209",2,6685,-1095,750,2780,4250,"D05",0.035793307728621,0.124479718620367,-0.888513096313949,0.30639584544548,0.126149578199656
"result.76","2019-10-21 08:04:00","D14P1","CA2209",2,7245,-1145,2000,3140,3250,"D14",0.155897524711171,0.080474033270679,0.603439230274835,0.605697365378319,-0.188169061947749
"result.77","2019-10-21 08:15:30","D14P2","CA2209",2,4440,-2190,1100,2530,3000,"D14",-0.445695919281778,-0.839244790537796,-0.470766444869089,0.0985475677143422,-0.2667487219846
"result.78","2020-01-13 07:35:18","D01P1","CB1706",1,6520,-740,1250,2760,3250,"D01",0.000405458081976941,0.43692008460315,-0.291732165678435,0.289767983226989,-0.188169061947749
"result.79","2020-01-14 07:18:40","D02P1","CB1706",1,8145,-635,2100,2930,3750,"D02",0.348922159147411,0.529332023837495,0.722795416401938,0.431104812084163,-0.0310097418740465
"result.80","2020-01-14 07:31:04","D02P2","CB1706",1,9895,-385,2300,3730,4250,"D02",0.724247837217878,0.749360450585934,0.961507788656144,1.09621930082381,0.126149578199656
"result.81","2020-01-15 07:14:13","D03P1","CB1706",1,9280,-50,1550,3530,4250,"D03",0.592347670353114,1.04419854242884,0.0663363927028731,0.929940678638895,0.126149578199656
"result.82","2020-01-15 07:28:50","D03P2","CB1706",1,9460,-450,2300,3360,4250,"D03",0.630952597240362,0.69215305963134,0.961507788656144,0.788603849781721,0.126149578199656
"result.83","2020-01-16 07:18:52","D04P1","CB1706",1,10060,-300,1450,3660,5250,"D04",0.759635686864522,0.824170115680403,-0.0530197934242296,1.03802178305909,0.44046821834706
"result.84","2020-01-16 07:33:11","D04P2","CB1706",1,10435,-485,1050,3870,6000,"D04",0.840062617879622,0.661349079886558,-0.53044453793264,1.21261433635324,0.676207198457613
"result.85","2020-01-17 12:04:18","D05P1","CB1706",1,11335,-485,1950,3870,6000,"D05",1.03308725231586,0.661349079886558,0.543761137211284,1.21261433635324,0.676207198457613
"result.86","2020-01-17 12:15:40","D05P2","CB1706",1,10365,-835,1550,2900,6750,"D05",0.825049590756804,0.353309282438743,0.0663363927028731,0.406163018756427,0.911946178568166
"result.87","2020-01-28 07:18:05","D14P1","CB1706",1,12470,-350,1600,4220,7000,"D14",1.27651276352157,0.780164430330715,0.126014485766424,1.50360192517684,0.990525838605017
"result.88","2020-01-28 07:31:45","D14P2","CB1706",1,13430,-100,1650,3880,8000,"D14",1.48240570692022,1.00019285707915,0.185692578829976,1.22092826746249,1.30484447875242
"result.89","2019-11-18 19:03:23","D01P1","CB2708",1,890,-2250,1100,790,1250,"D01",-1.20707086622473,-0.892051612957422,-0.470766444869089,-1.34807644529438,-0.816806342242557
"result.90","2019-11-19 19:08:39","D02P1","CB2708",1,1670,-3270,1450,1240,2250,"D02",-1.03978284971332,-1.78976759409105,-0.0530197934242296,-0.97394954537833,-0.502487702095153
"result.91","2019-11-19 19:21:40","D02P2","CB2708",1,3525,-2245,1550,1470,2750,"D02",-0.641937630958623,-0.887651044422453,0.0663363927028731,-0.782729129865683,-0.345328382021451
"result.92","2019-11-20 13:33:08","D03P1","CB2708",1,4955,-1705,2100,2060,2500,"D03",-0.335242934021041,-0.412389642645824,0.722795416401938,-0.292207194420197,-0.423908042058302
"result.93","2019-11-20 13:49:53","D03P2","CB2708",1,4020,-2780,1750,1800,3250,"D03",-0.535774082018691,-1.35851187766411,0.305048764957079,-0.508369403260581,-0.188169061947749
"result.94","2019-11-21 18:36:08","D04P1","CB2708",1,6280,-980,2350,1910,3000,"D04",-0.0510677777676871,0.225692794924649,1.02118588171969,-0.41691616105888,-0.2667487219846
"result.95","2019-11-21 18:52:31","D04P2","CB2708",1,6215,-1435,2000,2150,3500,"D04",-0.0650084458103045,-0.17475894175751,0.603439230274835,-0.217381814436988,-0.109589401910898
"result.96","2019-11-22 19:01:21","D05P1","CB2708",1,7520,-1300,2350,2720,3750,"D05",0.214877274122244,-0.0559435913133532,1.02118588171969,0.256512258790007,-0.0310097418740465
"result.97","2019-11-22 19:11:47","D05P2","CB2708",1,8190,-1120,1200,3110,5000,"D05",0.358573390869223,0.102476875945523,-0.351410258741986,0.580755572050583,0.361888558310209
"result.98","2019-12-03 18:34:45","D14P1","CB2708",1,8065,-1175,1950,2540,4750,"D14",0.33176441386419,0.0540706220608663,0.543761137211284,0.106861498823588,0.283308898273358
"result.99","2019-12-03 18:47:01","D14P2","CB2708",1,8535,-1585,1950,2670,5500,"D14",0.432566167403115,-0.306775997806574,0.543761137211284,0.21494260324378,0.519047878383911
"result.100","2020-02-10 14:47:35","D01P1","CH0205",2,-2295,-4715,550,870,1000,"D01",-1.89016360031298,-3.06153190069703,-1.12722546856815,-1.28156499642041,-0.895386002279408
"result.101","2020-02-11 11:37:28","D02P1","CH0205",2,1315,-2125,150,2040,1250,"D02",-1.11592034440761,-0.782037399583202,-1.60465021307656,-0.308835056638688,-0.816806342242557
"result.102","2020-02-11 11:47:59","D02P2","CH0205",2,1855,-1975,500,1580,1750,"D02",-1.00010556374587,-0.650020343534139,-1.18690356163171,-0.691275887663983,-0.659647022168855
"result.103","2020-02-12 14:07:12","D03P1","CH0205",2,4485,-1305,950,2840,2000,"D03",-0.436044687559966,-0.060344159848322,-0.649800724059743,0.356279432100953,-0.581067362132004
"result.104","2020-02-12 14:17:38","D03P2","CH0205",2,2950,-1490,700,2490,1250,"D03",-0.765258925181776,-0.223165195642167,-0.9481911893775,0.0652918432773601,-0.816806342242557
"result.105","2020-02-13 13:49:59","D04P1","CH0205",2,4515,-1225,900,3090,1750,"D04",-0.429610533078758,0.0100649367111785,-0.709478817123295,0.564127709832092,-0.659647022168855
"result.106","2020-02-13 14:00:27","D04P2","CH0205",2,4700,-1320,750,3020,2250,"D04",-0.389933247111309,-0.0735458654532283,-0.888513096313949,0.505930192067373,-0.502487702095153
"result.107","2020-02-14 15:45:51","D05P1","CH0205",2,6115,-995,1500,3360,2250,"D05",-0.0864556274143312,0.212491089319742,0.00665829963932174,0.788603849781721,-0.502487702095153
"result.108","2020-02-14 15:56:09","D05P2","CH0205",2,6455,-775,1900,3330,2000,"D05",-0.0135352099606404,0.406116104858369,0.484083044147733,0.763662056453984,-0.581067362132004
"result.109","2020-02-25 11:31:34","D14P1","CH0205",2,5535,-1055,1600,3490,1500,"D14",-0.210849280717686,0.159684266900117,0.126014485766424,0.896684954201913,-0.738226682205706
"result.110","2020-02-25 11:42:12","D14P2","CH0205",2,5990,-670,2000,2910,1750,"D14",-0.113264604419365,0.498528044092713,0.603439230274835,0.414476949865672,-0.659647022168855
"result.111","2019-11-18 20:35:17","D01P1","CJ1906",1,3220,-1240,500,2210,1750,"D01",-0.707351534850904,-0.00313676889372782,-1.18690356163171,-0.167498227781515,-0.659647022168855
"result.112","2019-11-19 18:38:37","D02P1","CJ1906",1,4470,-820,300,2490,2500,"D02",-0.43926176480057,0.36651098804365,-1.42561593388591,0.0652918432773601,-0.423908042058302
"result.113","2019-11-19 18:50:14","D02P2","CJ1906",1,6025,-735,550,2210,4000,"D02",-0.105758090857955,0.441320653138119,-1.12722546856815,-0.167498227781515,0.0475699181628045
"result.114","2019-11-20 18:45:54","D03P1","CJ1906",1,8430,-600,1150,2880,5000,"D03",0.410046626718887,0.560136003582276,-0.411088351805538,0.389535156537936,0.361888558310209
"result.115","2019-11-20 18:56:44","D03P2","CJ1906",1,10385,-435,650,3170,7000,"D03",0.829339027077609,0.705354765236246,-1.00786928244105,0.630639158706056,0.990525838605017
"result.116","2019-11-21 17:09:16","D04P1","CJ1906",1,12040,-1050,900,2940,9250,"D04",1.18428988262425,0.164084835435086,-0.709478817123295,0.439418743193409,1.69774277893668
"result.117","2019-11-21 17:24:40","D04P2","CJ1906",1,11140,-750,850,3040,8000,"D04",0.991265248188011,0.428118947533213,-0.769156910186846,0.522558054285864,1.30484447875242
"result.118","2019-11-22 17:38:32","D05P1","CJ1906",1,12810,-2250,700,3360,11000,"D05",1.34943318097526,-0.892051612957422,-0.9481911893775,0.788603849781721,2.24780039919463
"result.119","2019-11-22 17:49:57","D05P2","CJ1906",1,11790,-2100,900,2990,10000,"D05",1.13067192861418,-0.760034556908358,-0.709478817123295,0.480988398739636,1.93348175904723
"result.120","2019-12-03 17:12:09","D14P1","CJ1906",1,12990,-1600,1050,3040,10500,"D14",1.3880381078625,-0.31997770341148,-0.53044453793264,0.522558054285864,2.09064107912093
"result.121","2019-12-03 17:23:19","D14P2","CJ1906",1,11550,-1850,1150,3000,9250,"D14",1.07919869276452,-0.540006130159919,-0.411088351805538,0.489302329848882,1.69774277893668
"result.122","2019-11-18 12:30:51","D01P1","CO1106",2,2030,-750,100,1680,1000,"D01",-0.962572995938822,0.428118947533213,-1.66432830614012,-0.608136576571527,-0.895386002279408
"result.123","2019-11-19 12:13:30","D02P1","CO1106",2,1445,-785,0,1230,1000,"D02",-1.08803900832238,0.397314967788431,-1.78368449226722,-0.982263476487576,-0.895386002279408
"result.124","2019-11-19 12:24:01","D02P2","CO1106",2,3135,-1035,0,2670,1500,"D02",-0.725581639214327,0.177286541039992,-1.78368449226722,0.21494260324378,-0.738226682205706
"result.125","2019-11-20 12:04:39","D03P1","CO1106",2,5000,-370,100,3020,2250,"D03",-0.325591702299229,0.76256215619084,-1.66432830614012,0.505930192067373,-0.502487702095153
"result.126","2019-11-20 12:19:50","D03P2","CO1106",2,6200,-150,0,3600,2750,"D03",-0.0682255230509085,0.956187171729466,-1.78368449226722,0.988138196403613,-0.345328382021451
"result.127","2019-11-21 14:08:47","D04P1","CO1106",2,6380,-350,400,3580,2750,"D04",-0.0296205961636604,0.780164430330715,-1.30625974775881,0.971510334185122,-0.345328382021451
"result.128","2019-11-21 14:22:19","D04P2","CO1106",2,5580,-750,300,2780,3250,"D04",-0.201198048995874,0.428118947533213,-1.42561593388591,0.30639584544548,-0.188169061947749
"result.129","2019-11-22 11:36:19","D05P1","CO1106",2,7700,-450,700,3450,4000,"D05",0.253482201009492,0.69215305963134,-0.9481911893775,0.86342922976493,0.0475699181628045
"result.130","2019-11-22 11:47:57","D05P2","CO1106",2,8500,-400,750,3650,4500,"D05",0.425059653841706,0.736158744981027,-0.888513096313949,1.02970785194984,0.204729238236507
"result.131","2019-12-02 12:34:03","D14P1","CO1106",2,9290,-150,500,3940,5000,"D14",0.594492388513517,0.956187171729466,-1.18690356163171,1.27081185411796,0.361888558310209
"result.132","2019-12-02 12:46:54","D14P2","CO1106",2,9690,-700,900,3740,5750,"D14",0.680281114929623,0.472124632882901,-0.709478817123295,1.10453323193305,0.597627538420762
"result.133","2019-09-23 10:31:27","D01P1","CP1809",2,-1295,-2845,1200,-900,1250,"D01",-1.67569178427271,-1.41571926861871,-0.351410258741986,-2.75313080275687,-0.816806342242557
"result.134","2019-09-24 10:34:33","D02P1","CP1809",2,2760,-1750,1800,1460,1250,"D02",-0.806008570229427,-0.451994759460543,0.36472685802063,-0.791043060974929,-0.816806342242557
"result.135","2019-09-24 10:45:31","D02P2","CP1809",2,1895,-2905,1500,1800,1500,"D02",-0.991526691104258,-1.46852609103833,0.00665829963932174,-0.508369403260581,-0.738226682205706
"result.136","2019-09-25 10:17:04","D03P1","CP1809",2,2975,-2465,1350,2590,1500,"D03",-0.75989712978077,-1.08127605996108,-0.172375979551332,0.148431154369815,-0.738226682205706
"result.137","2019-09-25 10:27:33","D03P2","CP1809",2,4415,-1145,1600,1960,2000,"D03",-0.451057714682785,0.080474033270679,0.126014485766424,-0.375346505512653,-0.581067362132004
"result.138","2019-09-26 10:02:18","D04P1","CP1809",2,6030,-1510,1400,3140,3000,"D04",-0.104685731777754,-0.240767469782042,-0.112697886487781,0.605697365378319,-0.2667487219846
"result.139","2019-09-26 10:13:57","D04P2","CP1809",2,5760,-1440,1950,3000,2250,"D04",-0.162593122108626,-0.179159510292479,0.543761137211284,0.489302329848882,-0.502487702095153
"result.140","2019-09-27 09:51:48","D05P1","CP1809",2,6845,-695,1500,3540,2500,"D05",0.0701087982950637,0.476525201417869,0.00665829963932174,0.93825460974814,-0.423908042058302
"result.141","2019-09-27 10:21:38","D05P2","CP1809",2,8355,-575,3000,3180,2750,"D05",0.393961240515867,0.58213884625712,1.79700109154586,0.638953089815301,-0.345328382021451
"result.142","2019-10-09 17:07:23","D14P1","CP1809",2,7720,-1390,2500,3110,3500,"D14",0.257771637330297,-0.135153824942791,1.20022016091035,0.580755572050583,-0.109589401910898
"result.143","2019-10-09 17:17:49","D14P2","CP1809",2,7165,-985,1750,2400,4000,"D14",0.138739779427949,0.22129222638968,0.305048764957079,-0.00953353670584958,0.0475699181628045
"result.144","2020-02-03 18:38:26","D01P1","CR2709",2,4720,-600,700,2120,2500,"D01",-0.385643810790504,0.560136003582276,-0.9481911893775,-0.242323607764724,-0.423908042058302
"result.145","2020-02-04 17:53:15","D02P1","CR2709",2,4365,-1405,1250,2520,2000,"D02",-0.461781305484799,-0.148355530547698,-0.291732165678435,0.0902336366050967,-0.581067362132004
"result.146","2020-02-04 18:08:24","D02P2","CR2709",2,6800,-700,1750,3250,2500,"D02",0.0604575665732517,0.472124632882901,0.305048764957079,0.69715060758002,-0.423908042058302
"result.147","2020-02-05 17:50:01","D03P1","CR2709",2,5770,-450,1150,2820,2250,"D03",-0.160448403948223,0.69215305963134,-0.411088351805538,0.339651569882462,-0.502487702095153
"result.148","2020-02-05 18:05:34","D03P2","CR2709",2,6875,-485,2000,3360,2000,"D03",0.0765429527762717,0.661349079886558,0.603439230274835,0.788603849781721,-0.581067362132004
"result.149","2020-02-06 17:44:49","D04P1","CR2709",2,7265,-685,1850,3350,2750,"D04",0.160186961031976,0.485326338487807,0.424404951084181,0.780289918672475,-0.345328382021451
"result.150","2020-02-06 18:05:59","D04P2","CR2709",2,7645,-335,2400,3080,2500,"D04",0.241686251127277,0.793366135935621,1.08086397478325,0.555813778722846,-0.423908042058302
"result.151","2020-02-07 17:49:04","D05P1","CR2709",2,9180,-100,3050,3230,3000,"D05",0.570900488749087,1.00019285707915,1.85667918460941,0.680522745361529,-0.2667487219846
"result.152","2020-02-07 18:01:29","D05P2","CR2709",2,10480,-150,4050,3330,3250,"D05",0.849713849601434,0.956187171729466,3.05024104588044,0.763662056453984,-0.188169061947749
"result.153","2020-02-18 17:47:56","D14P1","CR2709",2,10085,-35,3100,4020,3000,"D14",0.764997482265529,1.05740024803375,1.91635727767297,1.33732330299193,-0.2667487219846
"result.154","2020-02-18 18:00:40","D14P2","CR2709",2,10750,-350,3900,3950,3250,"D14",0.907621239932306,0.780164430330715,2.87120676668979,1.27912578522721,-0.188169061947749
"result.155","2019-10-07 20:16:30","D01P1","EB2307",1,-295,-1795,400,-150,1250,"D01",-1.46121996823244,-0.491599876275262,-1.30625974775881,-2.12958596956346,-0.816806342242557
"result.156","2019-10-08 19:33:49","D02P1","EB2307",1,685,-1195,650,-520,1750,"D02",-1.25103758851298,0.0364683479209912,-1.00786928244105,-2.43720142060554,-0.659647022168855
"result.157","2019-10-08 19:49:56","D02P2","EB2307",1,1530,-1340,550,-180,2500,"D02",-1.06980890395896,-0.0911481395931034,-1.12722546856815,-2.15452776289119,-0.423908042058302
"result.158","2019-10-09 19:35:37","D03P1","EB2307",1,1570,-1410,650,330,2000,"D03",-1.06123003131734,-0.152756099082666,-1.00786928244105,-1.73051727631967,-0.581067362132004
"result.159","2019-10-09 19:47:45","D03P2","EB2307",1,4015,-875,1750,1140,2000,"D03",-0.536846441098892,0.318104734158993,0.305048764957079,-1.05708885647079,-0.581067362132004
"result.160","2019-10-10 18:44:51","D04P1","EB2307",1,5780,-700,2000,2480,2000,"D04",-0.158303685787821,0.472124632882901,0.603439230274835,0.0569779121681146,-0.581067362132004
"result.161","2019-10-10 18:55:18","D04P2","EB2307",1,5175,-485,1550,1610,2500,"D04",-0.288059134492182,0.661349079886558,0.0663363927028731,-0.666334094336246,-0.423908042058302
"result.162","2019-10-11 15:41:13","D05P1","EB2307",1,4900,-1320,1450,2020,2750,"D05",-0.347038883903256,-0.0735458654532283,-0.0530197934242296,-0.325462918857179,-0.345328382021451
"result.163","2019-10-11 15:53:04","D05P2","EB2307",1,3750,-1020,600,1420,2750,"D05",-0.593681472349563,0.190488246644899,-1.0675473755046,-0.824298785411911,-0.345328382021451
"result.164","2019-10-21 19:19:29","D14P1","EB2307",1,6140,-470,1650,2460,2500,"D14",-0.0810938320133245,0.674550785491464,0.185692578829976,0.0403500499496236,-0.423908042058302
"result.165","2019-10-21 19:32:24","D14P2","EB2307",1,3620,-970,750,1590,2250,"D14",-0.621562808434797,0.234493931994586,-0.888513096313949,-0.682961956554737,-0.502487702095153
"result.177","2019-09-30 16:23:07","D01P1","EC2802",1,-490,-3190,550,1150,1000,"D01",-1.5030419723603,-1.71935849753155,-1.12722546856815,-1.04877492536154,-0.895386002279408
"result.178","2019-10-01 16:12:57","D02P1","EC2802",1,-320,-2490,300,870,1000,"D02",-1.46658176363345,-1.10327890263592,-1.42561593388591,-1.28156499642041,-0.895386002279408
"result.179","2019-10-01 16:23:41","D02P2","EC2802",1,3275,-825,1150,1950,1000,"D02",-0.69555558496869,0.362110419508681,-0.411088351805538,-0.383660436621898,-0.895386002279408
"result.180","2019-10-02 16:19:54","D03P1","EC2802",1,3870,-1160,1650,2380,1000,"D03",-0.567944854424731,0.0672723276657727,0.185692578829976,-0.0261613989243406,-0.895386002279408
"result.181","2019-10-02 16:30:36","D03P2","EC2802",1,4510,-1570,2000,2830,1250,"D03",-0.43068289215896,-0.293574292201667,0.603439230274835,0.347965500991708,-0.816806342242557
"result.182","2019-10-03 16:21:10","D04P1","EC2802",1,4585,-1845,2450,2730,1250,"D04",-0.41459750595594,-0.53560556162495,1.1405420678468,0.264826189899253,-0.816806342242557
"result.183","2019-10-03 16:32:40","D04P2","EC2802",1,4775,-1875,2550,2600,1500,"D04",-0.373847860908289,-0.562008972834763,1.2598982539739,0.156745085479061,-0.738226682205706
"result.184","2019-10-04 15:10:18","D05P1","EC2802",1,5720,-930,3000,2400,1250,"D05",-0.171171994750237,0.269698480274337,1.79700109154586,-0.00953353670584958,-0.816806342242557
"result.185","2019-10-04 15:20:41","D05P2","EC2802",1,4885,-1655,2600,2690,1250,"D05",-0.35025596114386,-0.368383957296137,1.31957634703745,0.231570465462271,-0.816806342242557
"result.186","2019-10-15 17:11:54","D14P1","EC2802",1,7240,-520,3300,2960,1500,"D14",0.154825165630969,0.630545100141777,2.15506964992717,0.4560466054119,-0.738226682205706
"result.187","2019-10-15 17:26:03","D14P2","EC2802",1,6595,-1155,2450,3300,2000,"D14",0.016490844284997,0.0716728962007415,1.1405420678468,0.738720263126248,-0.581067362132004
"result.188","2018-06-04 16:55:42","D01P1","GF0912",1,2165,-995,650,1010,1500,"D01",-0.933619300773386,0.212491089319742,-1.00786928244105,-1.16516996089098,-0.738226682205706
"result.189","2018-06-05 11:33:46","D02P1","GF0912",1,3195,-1155,1050,1550,1750,"D02",-0.712713330251911,0.0716728962007415,-0.53044453793264,-0.716217680991719,-0.659647022168855
"result.190","2018-06-05 11:33:46","D02P2","GF0912",1,4170,-1580,1600,1900,2250,"D02",-0.503603309612651,-0.302375429271605,0.126014485766424,-0.425230092168126,-0.502487702095153
"result.191","2018-06-06 11:35:40","D03P1","GF0912",1,8475,-185,2750,2910,3000,"D03",0.419697858440699,0.925383191984685,1.49861062622811,0.414476949865672,-0.2667487219846
"result.192","2018-06-06 11:35:40","D03P2","GF0912",1,6435,-935,1750,2120,3500,"D03",-0.0178246462814458,0.265297911739368,0.305048764957079,-0.242323607764724,-0.109589401910898
"result.193","2018-06-07 11:29:16","D04P1","GF0912",1,6235,-705,1450,2990,2500,"D04",-0.0607190094894992,0.467724064347932,-0.0530197934242296,0.480988398739636,-0.423908042058302
"result.194","2018-06-07 11:29:16","D04P2","GF0912",1,6740,-750,1150,2590,3750,"D04",0.0475892576108357,0.428118947533213,-0.411088351805538,0.148431154369815,-0.0310097418740465
"result.195","2018-06-08 11:34:04","D05P1","GF0912",1,8725,-255,1800,3180,4000,"D05",0.473315812450766,0.863775232495122,0.36472685802063,0.638953089815301,0.0475699181628045
"result.196","2018-06-08 11:34:04","D05P2","GF0912",1,8700,-270,1200,3020,4750,"D05",0.467954017049759,0.850573526890216,-0.351410258741986,0.505930192067373,0.283308898273358
"result.197","2018-06-19 11:28:07","D14P1","GF0912",1,8340,-840,1850,3330,4000,"D14",0.390744163275263,0.348908713903775,0.424404951084181,0.763662056453984,0.0475699181628045
"result.198","2018-06-19 11:28:07","D14P2","GF0912",1,8785,-805,1650,3190,4750,"D14",0.486184121413182,0.379712693648556,0.185692578829976,0.647267020924547,0.283308898273358
"result.199","2020-02-10 11:16:05","D01P1","GF1410",1,2530,-1070,1900,450,1250,"D01",-0.855337087918689,0.146482561295211,0.484083044147733,-1.63075010300873,-0.816806342242557
"result.200","2020-02-11 14:13:49","D02P1","GF1410",1,1445,-1665,700,910,1500,"D02",-1.08803900832238,-0.377185094366074,-0.9481911893775,-1.24830927198343,-0.738226682205706
"result.201","2020-02-11 14:24:35","D02P2","GF1410",1,3215,-805,550,1220,2250,"D02",-0.708423893931106,0.379712693648556,-1.12722546856815,-0.990577407596821,-0.502487702095153
"result.202","2020-02-12 10:56:51","D03P1","GF1410",1,3620,-820,900,1540,2000,"D03",-0.621562808434797,0.36651098804365,-0.709478817123295,-0.724531612100965,-0.581067362132004
"result.203","2020-02-12 11:07:30","D03P2","GF1410",1,2935,-735,1400,270,2000,"D03",-0.76847600242238,0.441320653138119,-0.112697886487781,-1.78040086297515,-0.581067362132004
