"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.330","2019-10-21 13:25:00","D14P2","LL0206",1,17550,-900,2450,3500,12500,"D14",2.36602958900612,0.296101891484149,1.1405420678468,0.904998885311158,2.71927835941574
"result.342","2020-01-13 09:42:44","D01P1","LV0603",1,6470,-590,1150,2660,3250,"D01",-0.0103181327200364,0.568937140652214,-0.411088351805538,0.206628672134534,-0.188169061947749
"result.343","2020-01-14 09:10:36","D02P1","LV0603",1,7275,-735,1100,2410,4500,"D02",0.162331679192379,0.441320653138119,-0.470766444869089,-0.00121960559660405,0.204729238236507
"result.344","2020-01-14 09:21:51","D02P2","LV0603",1,8070,-400,1100,2370,5000,"D02",0.332836772944391,0.736158744981027,-0.470766444869089,-0.0344753300335861,0.361888558310209
"result.345","2020-01-15 09:02:47","D03P1","LV0603",1,9350,-470,1450,2870,5500,"D03",0.607360697475933,0.674550785491464,-0.0530197934242296,0.38122122542869,0.519047878383911
"result.346","2020-01-15 09:17:34","D03P2","LV0603",1,12250,-150,2250,2900,7250,"D03",1.22932896399271,0.956187171729466,0.901829695592592,0.406163018756427,1.06910549864187
"result.347","2020-01-16 09:03:32","D04P1","LV0603",1,10120,-350,1000,2970,6500,"D04",0.772503995826938,0.780164430330715,-0.590122630996192,0.464360536521145,0.833366518531315
"result.348","2020-01-16 09:19:16","D04P2","LV0603",1,11980,-100,1050,2780,8250,"D04",1.17142157366183,1.00019285707915,-0.53044453793264,0.30639584544548,1.38342413878927
"result.349","2020-01-17 10:04:14","D05P1","LV0603",1,13025,-405,1750,3180,8500,"D05",1.39554462142391,0.731758176446059,0.305048764957079,0.638953089815301,1.46200379882612
"result.350","2020-01-17 10:15:18","D05P2","LV0603",1,13420,-150,1500,2820,9250,"D05",1.48026098875982,0.956187171729466,0.00665829963932174,0.339651569882462,1.69774277893668
"result.351","2020-01-28 14:11:57","D14P1","LV0603",1,12505,-485,1150,2840,9000,"D14",1.28401927708298,0.661349079886558,-0.411088351805538,0.356279432100953,1.61916311889983
"result.352","2020-01-28 14:22:40","D14P2","LV0603",1,13660,-370,1850,2930,9250,"D14",1.53173422460948,0.76256215619084,0.424404951084181,0.431104812084163,1.69774277893668
"result.353","2019-11-11 16:46:31","D01P1","ME1301",2,-2605,-3475,50,320,500,"D01",-1.95664986328546,-1.97019090402477,-1.72400639920367,-1.73883120742892,-1.05254532235311
"result.354","2019-11-12 12:58:43","D02P1","ME1301",2,10,-3040,850,1200,1000,"D02",-1.39580606434016,-1.58734144148249,-0.769156910186846,-1.00720526981531,-0.895386002279408
"result.355","2019-11-12 13:11:34","D02P2","ME1301",2,665,-2475,650,990,1500,"D02",-1.25532702483379,-1.09007719703102,-1.00786928244105,-1.18179782310947,-0.738226682205706
"result.356","2019-11-13 16:36:11","D03P1","ME1301",2,-30,-3050,550,1220,1250,"D03",-1.40438493698177,-1.59614257855243,-1.12722546856815,-0.990577407596821,-0.816806342242557
"result.357","2019-11-13 16:50:00","D03P2","ME1301",2,2565,-1885,1800,1150,1500,"D03",-0.847830574357279,-0.5708101099047,0.36472685802063,-1.04877492536154,-0.738226682205706
"result.358","2019-11-14 17:01:01","D04P1","ME1301",2,2045,-2035,1400,1180,1500,"D04",-0.959355918698218,-0.702827165953764,-0.112697886487781,-1.0238331320338,-0.738226682205706
