Time;Channel 1;Channel 2
52;-14,52971172;-8,42448785
52,1;-14,63034379;-8,529779671
52,2;-14,73078303;-8,635106695
52,3;-14,83107683;-8,740316407
52,4;-14,9312667;-8,845253256
52,5;-15,03138862;-8,949759655
52,6;-15,13147342;-9,053676992
52,7;-15,23154716;-9,156846621
52,8;-15,33163146;-9,259110851
52,9;-15,43174392;-9,36031391
53;-15,53189846;-9,460302884
53,1;-15,63210564;-9,558928616
53,2;-15,73237302;-9,656046571
53,3;-15,83270546;-9,751517648
53,4;-15,93310538;-9,845208946
53,5;-16,03357302;-9,936994462
53,6;-16,13410663;-10,02675573
53,7;-16,23470268;-10,11438238
53,8;-16,33535595;-10,19977266
53,9;-16,43605967;-10,28283384
54;-16,53680552;-10,36348255
54,1;-16,63758372;-10,44164508
54,2;-16,73838293;-10,51725754
54,3;-16,83919025;-10,59026601
54,4;-16,9399911;-10,66062658
54,5;-17,04076908;-10,72830527
54,6;-17,14150582;-10,79327799
54,7;-17,24218078;-10,85553033
54,8;-17,34277099;-10,91505732
54,9;-17,44325087;-10,9718631
55;-17,54359187;-11,0259606
55,1;-17,64376221;-11,07737106
55,2;-17,74372656;-11,12612359
55,3;-17,84344569;-11,17225461
55,4;-17,94287617;-11,21580728
55,5;-18,04196991;-11,25683091
55,6;-18,14067388;-11,29538025
55,7;-18,23892968;-11,33151483
55,8;-18,33667315;-11,36529824
55,9;-18,43383399;-11,39679734
56;-18,53033537;-11,42608155
56,1;-18,62609351;-11,453222
56,2;-18,7210173;-11,47829075
56,3;-18,81500794;-11,50135996
56,4;-18,90795853;-11,52250109
56,5;-18,99975372;-11,54178405
56,6;-19,09026934;-11,55927638
56,7;-19,17937209;-11,57504241
56,8;-19,26691919;-11,58914247
56,9;-19,3527581;-11,60163208
57;-19,43672626;-11,61256117
57,1;-19,51865084;-11,62197331
57,2;-19,59834852;-11,62990497
57,3;-19,67562537;-11,63638484
57,4;-19,75027666;-11,64143315
57,5;-19,82208685;-11,64506102
57,6;-19,89082948;-11,64726989
57,7;-19,95626725;-11,648051
57,8;-20,01815208;-11,64738488
57,9;-20,07622523;-11,64524095
58;-20,13021754;-11,64157712
58,1;-20,17984966;-11,63633954
58,2;-20,2248324;-11,62946233
58,3;-20,26486716;-11,62086746
58,4;-20,29964637;-11,6104646
58,5;-20,32885406;-11,59815118
58,6;-20,35216647;-11,58381243
58,7;-20,36925274;-11,5673215
58,8;-20,37977569;-11,54853971
58,9;-20,38339265;-11,52731688
59;-20,37975638;-11,50349167
59,1;-20,36851604;-11,47689209
59,2;-20,34931826;-11,44733606
59,3;-20,32180822;-11,414632
59,4;-20,28563083;-11,37857955
59,5;-20,24043196;-11,33897038
59,6;-20,18585968;-11,295589
59,7;-20,12156558;-11,24821367
59,8;-20,04720614;-11,19661744
59,9;-19,96244408;-11,1405691
60;-19,86694979;-11,07983434
60,1;-19,76040277;-11,01417689
60,2;-19,64249307;-10,94335967
60,3;-19,51292276;-10,86714608
60,4;-19,37140737;-10,78530123
60,5;-19,21767737;-10,69759325
60,6;-19,0514796;-10,60379458
60,7;-18,87257869;-10,50368334
60,8;-18,68075844;-10,39704465
60,9;-18,47582321;-10,28367193
61;-18,25759921;-10,16336833
61,1;-18,0259358;-10,03594794
61,2;-17,78070669;-9,901237202
61,3;-17,52181115;-9,759076104
61,4;-17,24917505;-9,609319484
61,5;-16,96275195;-9,451838221
61,6;-16,66252399;-9,286520395
61,7;-16,34850284;-9,113272404
61,8;-16,0207304;-8,932020018
61,9;-15,67927955;-8,742709368
62;-15,32425475;-8,545307874
62,1;-14,95579252;-8,339805092
62,2;-14,57406189;-8,126213489
62,3;-14,17926467;-7,904569134
62,4;-13,77163562;-7,674932298
62,5;-13,35144262;-7,437387964
62,6;-12,91898656;-7,19204624
62,7;-12,47460123;-6,939042675
62,8;-12,01865305;-6,678538463
62,9;-11,55154068;-6,410720555
63;-11,07369456;-6,135801654
63,1;-10,58557626;-5,854020109
63,2;-10,08767774;-5,565639688
63,3;-9,580520542;-5,270949254
63,4;-9,064654774;-4,970262319
63,5;-8,540658047;-4,663916484
63,6;-8,009134263;-4,352272777
63,7;-7,470712301;-4,035714869
63,8;-6,926044588;-3,714648186
63,9;-6,375805571;-3,389498914
64;-5,820690082;-3,060712901
64,1;-5,261411608;-2,728754454
64,2;-4,698700474;-2,394105045
64,3;-4,133301937;-2,057261919
64,4;-3,565974199;-1,718736619
64,5;-2,997486356;-1,379053426
64,6;-2,428616269;-1,03874772
64,7;-1,860148387;-0,698364277
64,8;-1,292871523;-0,358455502
64,9;-0,727576587;-0,019579601
65;-0,165054287;0,317701282
65,1;0,393907184;0,652822981
65,2;0,948524481;0,985221245
65,3;1,498021445;1,314333707
65,4;2,041631433;1,63960186
65,5;2,578599637;1,960473049
65,6;3,108185383;2,276402457
65,7;3,629664399;2,58685508
65,8;4,142331038;2,891307683
65,9;4,645500454;3,189250734
66;5,138510724;3,480190291
66,1;5,620724906;3,763649855
66,2;6,091533016;4,039172168
66,3;6,550353946;4,306320955
66,4;6,99663728;4,564682601
66,5;7,429865034;4,81386775
66,6;7,84955329;5,053512839
66,7;8,255253735;5,283281528
66,8;8,646555087;5,502866058
66,9;9,023084404;5,711988495
67;9,384508282;5,910401879
67,1;9,730533922;6,097891268
67,2;10,06091008;6,274274661
67,3;10,37542787;6,439403819
67,4;10,67392146;6,593164952
67,5;10,95626863;6,735479302
67,6;11,22239116;6,866303583
67,7;11,4722551;6,985630315
67,8;11,70587093;7,093488007
67,9;11,9232935;7,189941229
68;12,12462194;7,275090548
68,1;12,30999928;7,349072326
68,2;12,47961209;7,412058403
68,3;12,63368983;7,464255644
68,4;12,7725042;7,505905359
68,5;12,89636823;7,537282605
68,6;13,00563533;7,558695356
68,7;13,10069815;7,570483563
68,8;13,18198732;7,573018087
68,9;13,24997009;7,566699522
69;13,30514883;7,551956909
69,1;13,34805939;7,529246345
69,2;13,37926938;7,499049489
69,3;13,39937635;7,461871976
69,4;13,40900581;7,418241744
69,5;13,40880926;7,368707276
69,6;13,39946203;7,313835768
69,7;13,3816611;7,254211227
69,8;13,35612281;7,1904325
69,9;13,32358056;7,123111253
70;13,28478235;7,052869893
70,1;13,24048839;6,980339459
70,2;13,19146857;6,906157465
70,3;13,13849995;6,830965729
70,4;13,0823642;6,755408178
70,5;13,02384505;6,680128644
70,6;12,96372568;6,60576866
70,7;12,90278621;6,532965259
70,8;12,84180108;6,462348789
70,9;12,7815365;6,394540745
71;12,72274799;6,330151633
71,1;12,66617783;6,269778868
71,2;12,61255266;6,214004718
71,3;12,56258107;6,163394301
71,4;12,5169513;6,118493634
71,5;12,47632894;6,079827751
71,6;12,44135478;6,047898891
71,7;12,41264268;6,023184754
71,8;12,39077759;6,00613685
71,9;12,37631354;5,997178912
72;12,36977188;5,996705419
72,1;12,37163952;6,005080192
72,2;12,38236727;6,022635103
72,3;12,40236837;6,049668875
72,4;12,43201708;6,086445987
72,5;12,47164739;6,133195694
72,6;12,52155189;6,190111145
72,7;12,58198071;6,257348618
72,8;12,65314067;6,33502687
72,9;12,73519447;6,423226592
73;12,82826011;6,521989989
73,1;12,93241036;6,631320468
73,2;13,04767241;6,751182448
73,3;13,17402771;6,881501286
73,4;13,31141182;7,022163325
73,5;13,45971459;7,173016058
73,6;13,61878029;7,333868408
73,7;13,78840804;7,504491133
